SI1   2010.974 UV  6 3P 2.0 3F 3.0   .030 -3.3800KP   .0        .0
FE1   2016.512 UV 84 5F 4.0 1G 4.0   .910   .0        .0        .0
TI2   2041.490 UV 11 2F 2.5 2D 1.5   .570 -1.1080KP   .0        .0
TI2   2054.540 UV 11 2F 3.5 2D 2.5   .570  -.9600KP   .0        .0
SI1   2054.828       5S 2.0 5P 1.0  4.130   .0        .0        .0
SI1   2058.136 UV 52 1D 2.0 1P 1.0   .780 -1.0300KP   .0        .0
SI1   2061.192       5S 2.0 5P 2.0  4.130   .0        .0        .0
SI1   2065.516       5S 2.0 5P 3.0  4.130   .0        .0        .0
FE1   2084.117 UV 33 5D 4.0 5P 3.0   .000   .3000KU  -.7900BH   .0
SI1   2084.467 UV 50 1D 2.0 3D 3.0   .780 -2.1200KP   .0        .0
FE1   2087.525 UV 34 5D 3.0 3P 2.0   .050 -2.0800KU   .0        .0
FE1   2090.380 UV 31 5D 3.0 5F 2.0   .050 -2.5900KU   .0        .0
FE1   2090.862 UV 34 5D 2.0 3P 1.0   .090 -3.8200KU   .0        .0
FE1   2093.660 UV 33 5D 3.0 5P 2.0   .050  -.2300KU   .0        .0
SI1   2094.211 UV 96 1S 0.0 1P 1.0  1.910 -3.3900KP   .0        .0
FE1   2095.462 UV 31                                                *
SI1   2095.67  95.04                                                *
AL1   2096.037                                                      *
FE1   2096.059 UV 28                                                *
AL1   2096.609                                                      *
NI2   2097.094 UV 31                                                *
FE2   2097.508 UV120                                                *
FE2   2097.548 UV 80                                                *
FE1   2097.875                                                      *
FE1   2098.100 UV 31 5D 2.0 5F 1.0   .090 -2.0900KU   .0        .0  *
AL1   2098.735                                                      *
FE1   2098.945 UV 34 5D 1.0 3P 1.0   .110 -1.6900KU   .0        .0  *
AL1   2099.765                                                      *
FE1   2100.150 UV 34 5D 2.0 3P 2.0   .090 -2.3100KU   .0        .0  *
FE1   2100.393                                                      *
FE1   2100.612 UV 28                                                *
FE1   2100.798 UV 33 5D 2.0 5P 1.0   .090  -.4500KU   .0        .0  *
FE2   2101.008 UV250                                                *
FE1   2101.475                                                      *
FE1   2102.355 UV 33 5D 3.0 5P 3.0   .050  -.2700KU -1.4100BH   .0  *
AL1   2102.558                                                      *
AL1   2102.806                                                      *
FE1   2102.910 UV 34 5D 0.0 3P 1.0   .120 -3.0500KU   .0        .0  *
FE1   2103.050 UV 31 5D 2.0 5F 2.0   .090 -1.3900KU   .0        .0  *
SI1   2103.209 95.03 1S 0.0 3D 1.0  1.910 -2.0600KP   .0        .0  *
CA2   2103.235 UV  9 2P 0.5 2D 1.5  3.120  -.6100WI   .0        .0  *
NI2   2103.392 UV 31                                                *
AL1   2103.658                                                      *
AL1   2103.680                                                      *
FE1   2103.973 UV 31                                                *
FE1   2104.412                                                      *
CU2   2104.797 UV 15                                                *
CU1   2105.112 UV 23                                                *
MN1   2106.052                                                      *
FE1   2106.259 UV 31 5D 1.0 5F 1.0   .110 -2.1200KU   .0        .0  *
FE1   2106.388 UV 33 5D 2.0 5P 2.0   .090  -.4500KU   .0        .0  *
FE1   2106.692                                                      *
CO1   2106.820 UV 90                                                *
FE1   2107.144                                                      *
AL1   2107.526                                                      *
FE2   2107.555 UV250                                                *
FE2   2107.794 UV 80                                                *
CR2   2107.920 UV 16                                                *
NI2   2107.954 UV 60                                                *
FE1   2108.137 UV 28 5D 4.0 5G 5.0   .000 -1.9400KU   .0        .0  *
FE2   2108.137 UV 81                                                *
FE1   2108.193                                                      *
FE1   2108.303 UV 34 5D 1.0 3P 2.0   .110 -2.0200KU   .0        .0  *
FE1   2108.578                                                      *
AL1   2108.596                                                      *
AL1   2108.626                                                      *
FE1   2108.720                                                      *
FE2   2108.942 UV227                                                *
FE1   2108.960 UV 33 5D 1.0 5P 1.0   .110  -.3300KU   .0        .0  *
FE2   2109.097 UV227                                                *
FE2   2109.097 UV250                                                *
FE1   2109.204                                                      *
MN1   2109.585                                                      *
NI1   2109.790 UV 17                                                *
FE1   2109.893                                                      *
AL1   2109.998                                                      *
FE2   2110.243 UV290                                                *
FE1   2110.245 UV 31 5D 0.0 5F 1.0   .120 -1.8400KU   .0        .0  *
FE2   2110.436                                                      *
FE2   2110.724 UV 80                                                *
FE2   2110.734 UV108                                                *
CR2   2110.980 UV 26                                                *
FE1   2111.232 UV 31                                                *
FE1   2111.436                                                      *
CO2   2111.446 UV  2                                                *
FE1   2111.637                                                      *
NI1   2111.730 UV 17                                                *
CU2   2112.100 UV 55                                                *
CR2   2112.160 UV 15                                                *
CO1   2112.400 UV 83                                                *
NI2   2112.450 UV 60                                                *
CA2   2112.757 UV  9 2P 1.5 2D 2.5  3.150  -.3570WI   .0        .0  *
